nombre_farmacia,calle,numero,colonia,ciudad,codigo_postal,latitud,longitud
"LOS REYES, MCH",LOS REYES,63 SUR,LOS REYES DE SALGADO CENTRO,LOS REYES,60300,19.58813,-102.4736
MANLIO FABIO ALTAMIRANO 1,MANLIO FABIO ALTAMIRANO,S/N,MANLIO FABIO ALTAMIRANO,MANLIO FABIO ALTAMIRANO,94250,19.09702,-96.33482
MARIANO ESCOBEDO,CIUDAD DE MEXICO,164,ANAHUAC,CIUDAD DE MEXICO,11320,19.44521,-99.18269
MARIANO ESCOBEDO 2,CIUDAD DE MEXICO,373,POLANCO V SECCION,CIUDAD DE MEXICO,11560,19.43581,-99.18309
MATEHUALA 1,MATEHUALA,116,CENTRO,MATEHUALA,78700,23.64544,-100.6451
MATEHUALA 2,MATEHUALA,411,MATEHUALA CENTRO,MATEHUALA,78700,23.64752,-100.6437
MATEHUALA 3,MATEHUALA,523,MATEHUALA CENTRO,MATEHUALA,78700,23.64546,-100.6431
MATEHUALA 4,MATEHUALA,204-D NTE,MATEHUALA CENTRO,MATEHUALA,78700,23.65588,-100.6432
MATEHUALA 6,MATEHUALA,1037-C,ALTAMIRA,MATEHUALA,78797,23.63793,-100.6404
MATEHUALA 7,MATEHUALA,816,LAS HADAS,MATEHUALA,78783,23.64713,-100.656
MATEHUALA 8,MATEHUALA,1212-A,RIVAS GUILLEN,MATEHUALA,78780,23.64136,-100.6498
MATEHUALA 9,MATEHUALA,300-A,ARBOLEDAS,MATEHUALA,78760,23.65903,-100.6375
MATLAPA 1,MATLAPA,8,CENTRO,MATLAPA,79970,21.33879,-98.82873
MERCED,CIUDAD DE MEXICO,4,CENTRO,CIUDAD DE MEXICO,15100,19.42908,-99.12498
MERCED 2,CIUDAD DE MEXICO,425,MERCED BALBUENA,CIUDAD DE MEXICO,15810,19.42246,-99.12363
MINATITLAN 1,MINATITLAN,115,CENTRO,MINATITLAN,96700,17.98577,-94.54503
MINATITLAN 10,MINATITLAN,110,BOHEMIA,MINATITLAN,96736,17.99124,-94.55815
MINATITLAN 11,MINATITLAN,4,NUEVA TACOTENO,MINATITLAN,96735,17.99363,-94.54668
MINATITLAN 2,MINATITLAN,9,PLAYON SUR,MINATITLAN,96757,17.98003,-94.54378
MINATITLAN 3,MINATITLAN,71,SANTA CLARA,MINATITLAN,96730,17.99236,-94.55246
MINATITLAN 4,MINATITLAN,76,PALMAR,MINATITLAN,96790,17.9877,-94.55197
MINATITLAN 5,MINATITLAN,109,EJIDO TACOTENO,MINATITLAN,96870,18.00149,-94.52882
MINATITLAN 6,MINATITLAN,10,7 DE MAYO,MINATITLAN,96344,18.00881,-94.55124
MINATITLAN 7,MINATITLAN,41,MINATITLAN CENTRO,MINATITLAN,96700,17.98432,-94.54523
MINATITLAN 8,MINATITLAN,12,OBRERA,MINATITLAN,96740,17.99208,-94.53201
